Montana,,,,,,,
Keyword,Grade/Area,,,,,,
Religion/Religious,,,,,,,
Spirit/spiritual,,,,,,,
Holiday,,,,,,,
Christian/Christmas/Christianity,,,,,,,
Muslim/Islam/Ramadan,,,,,,,
Jew/Judaism/Hanukkah/Holocaust,,,,,,,
Hinduism,,,,,,,
Buddhism,,,,,,,
Sikhism,,,,,,,
Mormon,,,,,,,
Genocide,,,,,,,
Persecution,,,,,,,
Church,,,,,,,
Mosque,,,,,,,
Temple,,,,,,,
Synagogue,,,,,,,
Pilgrim/pilgrimage,,,,,,,
Mission/Missionary/missionaries,,,,,,,
shaman,,,,,,,
god,,,,,,,
Catholic,,,,,,,
Protestant,,,,,,,
Theocracy/Theocratic,,,,,,,
Antisemitism,,,,,,,
Israelite/Hebrew,,,,,,,
Confucian/Confucianism,,,,,,,
Jain/Jainism,,,,,,,
Tao/Taoism/Dao/Daoism,,,,,,,
Shinto/Shintoism,,,,,,,
Zoroastrianism,,,,,,,
Lao Tzu,,,,,,,
Bahai,,,,,,,
Kwanzaa,,,,,,,
Holy,,,,,,,
Holi,,,,,,,
Diwali,,,,,,,
theology,,,,,,,
"Note: Mentioned NONE of these key words, 3 mentions of indigenous and 11 of Indian (as in American Indians)",,,,,,,
