State,Year,Total Religious Standards,Specific Standards about Christianity,Specific Standards about all other religions,Religion/Religious,Spirit/Spiritual,Holiday with specific reference to religious holidays,Christian/Christmas,Muslim/Islam/Ramadan,Jew/Judaism/Hanukkah/Holocaust,Hindu,Buddhism,Sikh,Mormon,Kwanzaa,Genocide,Persecution,Church,Mosque,Temple,Synagogue,Pilgrim/Pilgrimage,Mission/missionary/missionaries,Shaman,God,,
Arkansas,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
California,2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisana,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,2006,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,2020,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,2017,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,nd,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,2008,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,2017,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,2017,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington DC,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
