Religion/Religious,6-8,BH1.b: Personal identity and empathy,SS.BH1.b.m,"Analyze how culture, ethnicity, race, age, religion, gender, and social class affect a person's self-image and identity and interactions with others."
,6-8,BH2.a: Relationship of people and groups,SS.BH2.a.m,"Summarize the role culture plays in personal and group behavior. Categorize factors that contribute to cooperation and conflict among peoples of a country and/or the world (i.e., culture, language, religion, political beliefs)."
,6-8,PS2.c: Asserting and reaffirming of human rights,SS.PS2.c.m.,"...Investigate how groups (e.g., women, religious groups, civil rights groups, indigenous peoples, LGBTQ) have advocated for access to greater rights."
Spirit/Spiritual,,,,
Holiday,,,,
Christian/Christmas,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukah/Holocaust,History: Historical Eras and Themes,"2. Human and civil rights, including suffrage, the Universal Declaration of Human Rights, and current and historic genocide, including the Holocaust or Shoah.",,
Hindu,,,,
Buddhism,,,,
Sikh,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,History: Historical Eras and Themes,"2. Human and civil rights, including suffrage, the Universal Declaration of Human Rights, and current and historic genocide, including the Holocaust or Shoah.",,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
Theocracy,6-8,PS2.b: Fundamentals of citizenship,SS.PS2.b.m.,"Synthesize the cultural structures, types of govern- ment, and economic systems to explain differing concepts of citizenship (e.g., Confucianism, dictatorship, theocracy, republic, democracy)."
Theology,,,,
Crusades,,,,
Catholic,,,,
Protestant,,,,
Theocratic,,,,
Antisemitism,,,,
Israelite & Hebrew,,,,
confucianism,6-8,PS2.b: Fundamentals of citizenship,SS.PS2.b.m.,"Synthesize the cultural structures, types of govern- ment, and economic systems to explain differing concepts of citizenship (e.g., Confucianism, dictatorship, theocracy, republic, democracy)."
Jain/Jainism,,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,,,,
Shinto/Shintoism,,,,
Zoroastrianism,,,,
Bahai/Baha 'i,,,,
